scenario_id,total_patients_target,expected_arrivals,bandwidth_mbps,clinicians,quality_reject_rate,auto_cleared,reviewed,recaptures,completed,unfinished_at_stop,completion_rate,review_rate,recapture_rate_observed,clinician_utilization,average_review_wait_seconds,p90_running_average_review_wait_seconds,max_acquisition_queue,max_upload_queue,max_ai_queue,max_review_queue,throughput_patients_per_hour,required_review_clinicians_at_80pct_utilization,runtime_seconds
1,100000,100001,0.25,1,0.05,29192,2950,4883,37025,62976,0.370246297537025,0.0796758946657664,0.131883862255233,0.0122960684884068,0,0,1,62974,1,1,18.5125,1,236.576139
2,100000,100001,0.25,1,0.1,29192,2950,10007,42149,57852,0.421485785142149,0.0699897980972265,0.237419630358965,0.0122960684884068,0,0,1,57850,1,1,21.0745,1,135.012604
3,100000,100001,0.25,1,0.2,29192,2950,19999,52141,47860,0.52140478595214,0.056577357549721,0.383556126656566,0.0122960684884068,0,0,1,47857,1,1,26.0705,1,110.161798
4,100000,100001,0.25,2,0.05,29192,2950,4883,37025,62976,0.370246297537025,0.0796758946657664,0.131883862255233,0.00614803424420339,0,0,1,62974,1,1,18.5125,1,108.311736
5,100000,100001,0.25,2,0.1,29192,2950,10007,42149,57852,0.421485785142149,0.0699897980972265,0.237419630358965,0.00614803424420339,0,0,1,57850,1,1,21.0745,1,91.841222
6,100000,100001,0.25,2,0.2,29192,2950,19999,52141,47860,0.52140478595214,0.056577357549721,0.383556126656566,0.00614803424420339,0,0,1,47857,1,1,26.0705,1,71.040877
7,100000,100001,1,1,0.05,86343,8773,4883,99999,2,0.999980000199998,0.0877308773087731,0.048830488304883,0.0365542148979224,0,0,1,1,1,1,49.9995,1,10.209523
8,100000,100001,1,1,0.1,81719,8273,10007,99999,2,0.999980000199998,0.0827308273082731,0.100071000710007,0.0344708788157429,0,0,1,1,1,1,49.9995,1,14.657564
9,100000,100001,1,1,0.2,72626,7373,19999,99998,3,0.999970000299997,0.0737314746294926,0.199993999879998,0.0307276339562096,0,0,1,1,1,1,49.999,1,10.24156
10,100000,100001,1,2,0.05,86343,8773,4883,99999,2,0.999980000199998,0.0877308773087731,0.048830488304883,0.0182771074489612,0,0,1,1,1,1,49.9995,1,7.970644
11,100000,100001,1,2,0.1,81719,8273,10007,99999,2,0.999980000199998,0.0827308273082731,0.100071000710007,0.0172354394078714,0,0,1,1,1,1,49.9995,1,7.082861
12,100000,100001,1,2,0.2,72626,7373,19999,99998,3,0.999970000299997,0.0737314746294926,0.199993999879998,0.0153638169781048,0,0,1,1,1,1,49.999,1,6.098276
13,100000,100001,5,1,0.05,86344,8773,4883,100000,1,0.999990000099999,0.08773,0.04883,0.036554442348086,0,0,1,1,1,1,50,1,6.398379
14,100000,100001,5,1,0.1,81720,8273,10007,100000,1,0.999990000099999,0.08273,0.10007,0.0344710933028287,0,0,1,1,1,1,50,1,6.315188
15,100000,100001,5,1,0.2,72627,7373,19999,99999,2,0.999980000199998,0.0737307373073731,0.199991999919999,0.030727825193891,0,0,1,1,1,1,49.9995,1,6.245872
16,100000,100001,5,2,0.05,86344,8773,4883,100000,1,0.999990000099999,0.08773,0.04883,0.018277221174043,0,0,1,1,1,1,50,1,6.426424
17,100000,100001,5,2,0.1,81720,8273,10007,100000,1,0.999990000099999,0.08273,0.10007,0.0172355466514143,0,0,1,1,1,1,50,1,6.271056
18,100000,100001,5,2,0.2,72627,7373,19999,99999,2,0.999980000199998,0.0737307373073731,0.199991999919999,0.0153639125969455,0,0,1,1,1,1,49.9995,1,6.097251
