metric,value
counts.requested,25
counts.successful,25
counts.quality_rejected,0
counts.errors,0
counts.evaluated,25
coverage,1.0
metrics.qwk,0.9714285714285714
metrics.accuracy,0.88
metrics.mean_absolute_error,0.12
metrics.within_one_grade_accuracy,1.0
metrics.macro_f1,0.8732322566107443
metrics.referable_sensitivity,0.9999999933333334
metrics.referable_specificity,0.8999999910000002
metrics.referable_precision,0.937499994140625
metrics.referable_accuracy,0.95999999616
metrics.referable_f1,0.9677418792924064
metrics.referable_auc,1.0
runtime.total_seconds,42.971080274001
runtime.images_per_second,0.5817866304637883
configuration.csv,/home/ovoabhik/Downloads/Larp/Netrai/data/aptos2019/train.csv
configuration.image_dir,/home/ovoabhik/Downloads/Larp/Netrai/data/aptos2019/train_images
configuration.quality_threshold,0.3
configuration.enhancement_threshold,0.7
configuration.enhancement_enabled,True
configuration.segmentation_enabled,True
configuration.batch_size,5
configuration.fold,
configuration.n_folds,5
configuration.sample_per_grade,5
configuration.seed,42
