metric,value
counts.requested,103
counts.successful,103
counts.quality_rejected,0
counts.errors,0
counts.evaluated,103
coverage,1.0
metrics.qwk,0.6652417064386731
metrics.accuracy,0.4174757281553398
metrics.mean_absolute_error,0.7281553398058253
metrics.within_one_grade_accuracy,0.883495145631068
metrics.macro_f1,0.40341295286739126
metrics.referable_sensitivity,0.7968749987548829
metrics.referable_specificity,0.8205128184089414
metrics.referable_precision,0.8793103433115339
metrics.referable_accuracy,0.8058252419360921
metrics.referable_f1,0.8360655225208308
metrics.referable_auc,0.8745993589743589
dual_head_safety.referable_head_sensitivity,0.765625
dual_head_safety.referable_head_specificity,0.9230769230769231
dual_head_safety.referable_head_accuracy,0.8252427184466019
dual_head_safety.referable_head_auc,0.8721955128205128
dual_head_safety.head_disagreement_count,6
dual_head_safety.head_disagreement_rate,0.05825242718446602
dual_head_safety.concordant_coverage,0.941747572815534
dual_head_safety.concordant_sensitivity,0.7903225806451613
dual_head_safety.concordant_specificity,0.9142857142857143
runtime.total_seconds,220.33387139701517
runtime.images_per_second,0.46747238337407676
configuration.csv,/home/ovoabhik/Downloads/Larp/Netrai/data/idrid/B. Disease Grading/2. Groundtruths/b. IDRiD_Disease Grading_Testing Labels.csv
configuration.image_dir,/home/ovoabhik/Downloads/Larp/Netrai/data/idrid/B. Disease Grading/1. Original Images/b. Testing Set
configuration.quality_threshold,0.0
configuration.enhancement_threshold,0.7
configuration.enhancement_enabled,False
configuration.segmentation_enabled,False
configuration.batch_size,8
configuration.fold,
configuration.n_folds,5
configuration.sample_per_grade,
configuration.seed,42
configuration.confidence_temperature,0.8390771170135317
