bandwidth_mbps,clinicians,quality_reject_rate,total_patients,acquisition_seconds,recapture_seconds,ai_seconds,review_seconds,refer_rate,uncertain_rate,escalation_threshold_seconds,seed,expected_arrivals,upload_seconds_per_patient,auto_cleared,review_routed,reviewed,recaptures,completed,unfinished_at_stop,completion_rate,review_rate,recapture_rate_observed,clinician_utilization,acquisition_utilization,upload_utilization,ai_utilization,average_review_wait_seconds,p50_review_wait_seconds,p90_review_wait_seconds,p95_review_wait_seconds,max_acquisition_queue,max_upload_queue,max_ai_queue,max_review_queue,review_escalations_over_24h,required_review_clinicians_at_80pct_utilization,throughput_patients_per_hour,scenario_id
0.25,1,0.05,100000,45.0,120.0,3.5,30.0,0.08,0.0123,86400,4201,100001,224.0,29176,2966,2966,5009,37151,62850,0.37150628493715065,0.07983634357083255,0.13482813383219833,0.012358333333333334,0.625,0.99999375,0.015624583333333334,0.0,0.0,0.0,0.0,0,62847,0,0,0,1,18.5755,1
0.25,1,0.1,100000,45.0,120.0,3.5,30.0,0.08,0.0123,86400,4202,100001,224.0,29101,3041,3041,10139,42281,57720,0.4228057719422806,0.07192355904543411,0.23980038315082425,0.012670833333333333,0.625,0.99999375,0.015624583333333334,0.0,0.0,0.0,0.0,0,57718,0,0,0,1,21.1405,2
0.25,1,0.2,100000,45.0,120.0,3.5,30.0,0.08,0.0123,86400,4203,100001,224.0,29208,2934,2934,20276,52418,47583,0.5241747582524174,0.0559731389980541,0.38681368995383264,0.012225,0.625,0.99999375,0.015624583333333334,0.0,0.0,0.0,0.0,0,47581,0,0,0,1,26.209,3
0.25,2,0.05,100000,45.0,120.0,3.5,30.0,0.08,0.0123,86400,4204,100001,224.0,29124,3018,3018,5018,37160,62841,0.3715962840371596,0.08121636167922497,0.13503767491926802,0.0062875,0.625,0.99999375,0.015624583333333334,0.0,0.0,0.0,0.0,0,62839,0,0,0,1,18.58,4
0.25,2,0.1,100000,45.0,120.0,3.5,30.0,0.08,0.0123,86400,4205,100001,224.0,29248,2894,2894,9880,42022,57979,0.42021579784202157,0.06886868783018418,0.23511493979344153,0.006029166666666667,0.625,0.99999375,0.015624583333333334,0.0,0.0,0.0,0.0,0,57977,0,0,0,1,21.011,5
0.25,2,0.2,100000,45.0,120.0,3.5,30.0,0.08,0.0123,86400,4206,100001,224.0,29277,2865,2865,20005,52147,47854,0.5214647853521465,0.054940840316796746,0.3836270542888373,0.00596875,0.625,0.99999375,0.015624583333333334,0.0,0.0,0.0,0.0,0,47852,0,0,0,1,26.0735,6
1.0,1,0.05,100000,45.0,120.0,3.5,30.0,0.08,0.0123,86400,4207,100001,56.0,86186,8784,8784,5029,99999,2,0.999980000199998,0.08784087840878409,0.05029050290502905,0.0366,0.625,0.7386593055555556,0.04616597222222222,0.0,0.0,0.0,0.0,0,0,0,0,0,1,49.9995,7
1.0,1,0.1,100000,45.0,120.0,3.5,30.0,0.08,0.0123,86400,4208,100001,56.0,81454,8396,8396,10148,99998,3,0.999970000299997,0.08396167923358468,0.10148202964059282,0.03498333333333333,0.625,0.6988370833333334,0.04367708333333333,0.0,0.0,0.0,0.0,0,0,0,0,0,1,49.999,8
1.0,1,0.2,100000,45.0,120.0,3.5,30.0,0.08,0.0123,86400,4209,100001,56.0,72414,7381,7381,20203,99998,3,0.999970000299997,0.0738114762295246,0.20203404068081363,0.030754166666666666,0.625,0.6206315277777777,0.03878923611111111,0.0,0.0,0.0,0.0,0,0,0,0,0,1,49.999,9
1.0,2,0.05,100000,45.0,120.0,3.5,30.0,0.08,0.0123,86400,4210,100001,56.0,86195,8876,8876,4928,99999,2,0.999980000199998,0.08876088760887609,0.04928049280492805,0.018491666666666667,0.625,0.7394448611111111,0.046215069444444444,0.0,0.0,0.0,0.0,0,0,0,0,0,1,49.9995,10
