metric,value
requested,733
successful,733
errors,0
coverage,1
mode,model
start_index,1
stop_index,733
qwk,0.92856
accuracy,0.82265
mean_absolute_error,0.19918
within_one_grade_accuracy,0.97817
macro_f1,0.69154
referable_sensitivity,0.9396
referable_specificity,0.93793
referable_precision,0.91205
referable_accuracy,0.93861
referable_f1,0.92562
referable_auc,0.98463
referable_head_sensitivity,0.91946
referable_head_specificity,0.94713
referable_head_auc,0.98224
head_disagreement_count,10
head_disagreement_rate,0.013643
concordant_coverage,0.98636
concordant_sensitivity,0.93836
concordant_specificity,0.94664
total_seconds,2008.255
average_seconds,2.7374
