metric,value
requested,733
successful,733
errors,0
coverage,1
mode,model
start_index,1
stop_index,733
qwk,0.9297
accuracy,0.81719
mean_absolute_error,0.20191
within_one_grade_accuracy,0.9809
macro_f1,0.68088
referable_sensitivity,0.94966
referable_specificity,0.93333
referable_precision,0.90705
referable_accuracy,0.93997
referable_f1,0.92787
referable_auc,0.98412
referable_head_sensitivity,0.92617
referable_head_specificity,0.94253
referable_head_auc,0.98155
head_disagreement_count,11
head_disagreement_rate,0.015007
concordant_coverage,0.98499
concordant_sensitivity,0.94845
concordant_specificity,0.942
total_seconds,1135.0764
average_seconds,1.5473
