metric,value
requested,25
successful,25
errors,0
coverage,1
mode,full
start_index,1
stop_index,25
qwk,0.97574
accuracy,0.88
mean_absolute_error,0.12
within_one_grade_accuracy,1
macro_f1,0.79429
referable_sensitivity,1
referable_specificity,1
referable_precision,1
referable_accuracy,1
referable_f1,1
referable_auc,1
referable_head_sensitivity,1
referable_head_specificity,1
referable_head_auc,1
head_disagreement_count,0
head_disagreement_rate,0
concordant_coverage,1
concordant_sensitivity,1
concordant_specificity,1
total_seconds,205.0489
average_seconds,8.1773
